original,new,label
0,0,Unknown
2,1,Left-Cerebral-White-Matter
3,2,Left-Cerebral-Cortex
4,3,Left-Lateral-Ventricle
5,4,Left-Inf-Lat-Vent
7,5,Left-Cerebellum-White-Matter
8,6,Left-Cerebellum-Cortex
10,7,Left-Thalamus-Proper
11,8,Left-Caudate
12,9,Left-Putamen
13,10,Left-Pallidum
14,11,3rd-Ventricle
15,12,4th-Ventricle
16,13,Brain-Stem
17,14,Left-Hippocampus
18,15,Left-Amygdala
24,16,CSF
26,17,Left-Accumbens-area
28,18,Left-VentralDC
30,19,Left-vessel
31,20,Left-choroid-plexus
41,21,Right-Cerebral-White-Matter
42,22,Right-Cerebral-Cortex
43,23,Right-Lateral-Ventricle
44,24,Right-Inf-Lat-Vent
46,25,Right-Cerebellum-White-Matter
47,26,Right-Cerebellum-Cortex
49,27,Right-Thalamus-Proper
50,28,Right-Caudate
51,29,Right-Putamen
52,30,Right-Pallidum
53,31,Right-Hippocampus
54,32,Right-Amygdala
58,33,Right-Accumbens-area
60,34,Right-VentralDC
62,35,Right-vessel
63,36,Right-choroid-plexus
72,37,5th-Ventricle
77,38,WM-hypointensities
85,39,Optic-Chiasm
251,40,CC_Posterior
252,41,CC_Mid_Posterior
253,42,CC_Central
254,43,CC_Mid_Anterior
255,44,CC_Anterior
1000,45,ctx-lh-unknown
1001,46,ctx-lh-bankssts
1002,47,ctx-lh-caudalanteriorcingulate
1003,48,ctx-lh-caudalmiddlefrontal
1005,49,ctx-lh-cuneus
1006,50,ctx-lh-entorhinal
1007,51,ctx-lh-fusiform
1008,52,ctx-lh-inferiorparietal
1009,53,ctx-lh-inferiortemporal
1010,54,ctx-lh-isthmuscingulate
1011,55,ctx-lh-lateraloccipital
1012,56,ctx-lh-lateralorbitofrontal
1013,57,ctx-lh-lingual
1014,58,ctx-lh-medialorbitofrontal
1015,59,ctx-lh-middletemporal
1016,60,ctx-lh-parahippocampal
1017,61,ctx-lh-paracentral
1018,62,ctx-lh-parsopercularis
1019,63,ctx-lh-parsorbitalis
1020,64,ctx-lh-parstriangularis
1021,65,ctx-lh-pericalcarine
1022,66,ctx-lh-postcentral
1023,67,ctx-lh-posteriorcingulate
1024,68,ctx-lh-precentral
1025,69,ctx-lh-precuneus
1026,70,ctx-lh-rostralanteriorcingulate
1027,71,ctx-lh-rostralmiddlefrontal
1028,72,ctx-lh-superiorfrontal
1029,73,ctx-lh-superiorparietal
1030,74,ctx-lh-superiortemporal
1031,75,ctx-lh-supramarginal
1032,76,ctx-lh-frontalpole
1033,77,ctx-lh-temporalpole
1034,78,ctx-lh-transversetemporal
1035,79,ctx-lh-insula
2000,80,ctx-rh-unknown
2001,81,ctx-rh-bankssts
2002,82,ctx-rh-caudalanteriorcingulate
2003,83,ctx-rh-caudalmiddlefrontal
2005,84,ctx-rh-cuneus
2006,85,ctx-rh-entorhinal
2007,86,ctx-rh-fusiform
2008,87,ctx-rh-inferiorparietal
2009,88,ctx-rh-inferiortemporal
2010,89,ctx-rh-isthmuscingulate
2011,90,ctx-rh-lateraloccipital
2012,91,ctx-rh-lateralorbitofrontal
2013,92,ctx-rh-lingual
2014,93,ctx-rh-medialorbitofrontal
2015,94,ctx-rh-middletemporal
2016,95,ctx-rh-parahippocampal
2017,96,ctx-rh-paracentral
2018,97,ctx-rh-parsopercularis
2019,98,ctx-rh-parsorbitalis
2020,99,ctx-rh-parstriangularis
2021,100,ctx-rh-pericalcarine
2022,101,ctx-rh-postcentral
2023,102,ctx-rh-posteriorcingulate
2024,103,ctx-rh-precentral
2025,104,ctx-rh-precuneus
2026,105,ctx-rh-rostralanteriorcingulate
2027,106,ctx-rh-rostralmiddlefrontal
2028,107,ctx-rh-superiorfrontal
2029,108,ctx-rh-superiorparietal
2030,109,ctx-rh-superiortemporal
2031,110,ctx-rh-supramarginal
2032,111,ctx-rh-frontalpole
2033,112,ctx-rh-temporalpole
2034,113,ctx-rh-transversetemporal
2035,114,ctx-rh-insula
