,original,new,label,50-class
0,0,0,Unknown,0
1,2,1,Left-Cerebral-White-Matter,1
2,4,3,Left-Lateral-Ventricle,2
3,5,3,Left-Inf-Lat-Vent,2
4,7,1,Left-Cerebellum-White-Matter,3
5,8,2,Left-Cerebellum-Cortex,4
6,10,4,Left-Thalamus-Proper,5
7,11,4,Left-Caudate,6
8,12,4,Left-Putamen,7
9,13,4,Left-Pallidum,8
10,14,3,3rd-Ventricle,2
11,15,3,4th-Ventricle,2
12,16,5,Brain-Stem,9
13,17,4,Left-Hippocampus,10
14,18,4,Left-Amygdala,11
15,24,3,CSF,12
16,26,4,Left-Accumbens-area,13
17,28,4,Left-VentralDC,14
18,41,1,Right-Cerebral-White-Matter,1
19,43,3,Right-Lateral-Ventricle,2
20,44,3,Right-Inf-Lat-Vent,2
21,46,1,Right-Cerebellum-White-Matter,3
22,47,2,Right-Cerebellum-Cortex,4
23,49,4,Right-Thalamus-Proper,5
24,50,4,Right-Caudate,6
25,51,4,Right-Putamen,7
26,52,4,Right-Pallidum,8
27,53,4,Right-Hippocampus,10
28,54,4,Right-Amygdala,11
29,58,4,Right-Accumbens-area,13
30,60,4,Right-VentralDC,14
31,72,3,5th-Ventricle,2
32,192,1,Corpus_Callosum,15
33,251,1,CC_Posterior,15
34,252,1,CC_Mid_Posterior,15
35,253,1,CC_Central,15
36,254,1,CC_Mid_Anterior,15
37,255,1,CC_Anterior,15
38,1001,2,ctx-lh-bankssts,16
39,1002,2,ctx-lh-caudalanteriorcingulate,17
40,1003,2,ctx-lh-caudalmiddlefrontal,18
41,1005,2,ctx-lh-cuneus,19
42,1006,2,ctx-lh-entorhinal,20
43,1007,2,ctx-lh-fusiform,21
44,1008,2,ctx-lh-inferiorparietal,22
45,1009,2,ctx-lh-inferiortemporal,23
46,1010,2,ctx-lh-isthmuscingulate,24
47,1011,2,ctx-lh-lateraloccipital,25
48,1012,2,ctx-lh-lateralorbitofrontal,26
49,1013,2,ctx-lh-lingual,27
50,1014,2,ctx-lh-medialorbitofrontal,28
51,1015,2,ctx-lh-middletemporal,29
52,1016,2,ctx-lh-parahippocampal,30
53,1017,2,ctx-lh-paracentral,31
54,1018,2,ctx-lh-parsopercularis,32
55,1019,2,ctx-lh-parsorbitalis,33
56,1020,2,ctx-lh-parstriangularis,34
57,1021,2,ctx-lh-pericalcarine,35
58,1022,2,ctx-lh-postcentral,36
59,1023,2,ctx-lh-posteriorcingulate,37
60,1024,2,ctx-lh-precentral,38
61,1025,2,ctx-lh-precuneus,39
62,1026,2,ctx-lh-rostralanteriorcingulate,40
63,1027,2,ctx-lh-rostralmiddlefrontal,41
64,1028,2,ctx-lh-superiorfrontal,42
65,1029,2,ctx-lh-superiorparietal,43
66,1030,2,ctx-lh-superiortemporal,44
67,1031,2,ctx-lh-supramarginal,45
68,1032,2,ctx-lh-frontalpole,46
69,1033,2,ctx-lh-temporalpole,47
70,1034,2,ctx-lh-transversetemporal,48
71,1035,2,ctx-lh-insula,49
72,2001,2,ctx-rh-bankssts,16
73,2002,2,ctx-rh-caudalanteriorcingulate,17
74,2003,2,ctx-rh-caudalmiddlefrontal,18
75,2005,2,ctx-rh-cuneus,19
76,2006,2,ctx-rh-entorhinal,20
77,2007,2,ctx-rh-fusiform,21
78,2008,2,ctx-rh-inferiorparietal,22
79,2009,2,ctx-rh-inferiortemporal,23
80,2010,2,ctx-rh-isthmuscingulate,24
81,2011,2,ctx-rh-lateraloccipital,25
82,2012,2,ctx-rh-lateralorbitofrontal,26
83,2013,2,ctx-rh-lingual,27
84,2014,2,ctx-rh-medialorbitofrontal,28
85,2015,2,ctx-rh-middletemporal,29
86,2016,2,ctx-rh-parahippocampal,30
87,2017,2,ctx-rh-paracentral,31
88,2018,2,ctx-rh-parsopercularis,32
89,2019,2,ctx-rh-parsorbitalis,33
90,2020,2,ctx-rh-parstriangularis,34
91,2021,2,ctx-rh-pericalcarine,35
92,2022,2,ctx-rh-postcentral,36
93,2023,2,ctx-rh-posteriorcingulate,37
94,2024,2,ctx-rh-precentral,38
95,2025,2,ctx-rh-precuneus,39
96,2026,2,ctx-rh-rostralanteriorcingulate,40
97,2027,2,ctx-rh-rostralmiddlefrontal,41
98,2028,2,ctx-rh-superiorfrontal,42
99,2029,2,ctx-rh-superiorparietal,43
100,2030,2,ctx-rh-superiortemporal,44
101,2031,2,ctx-rh-supramarginal,45
102,2032,2,ctx-rh-frontalpole,46
103,2033,2,ctx-rh-temporalpole,47
104,2034,2,ctx-rh-transversetemporal,48
105,2035,2,ctx-rh-insul,49
